name,state,office,party,bio,website,faith_statement,positions,endorsements
Keliikoa Kaeo,Hawaii,State Senate District 7,Nonpartisan,Native Hawaiian activist. Focus on sovereignty and traditional Hawaiian values.,Not available,Traditional Hawaiian spirituality.,hawaiian:sovereignty;environment:protection;traditional:values,Native Hawaiian Community
Kaialiilii Kahele,Hawaii,State Senate District 9,Democratic,Former U.S. Representative. Native Hawaiian leader. Moderate Democrat.,Not available,Not publicly disclosed,hawaiian:native-issues;military:veteran;environment:protection,Hawaii Democratic Party;Native Hawaiian Community
Keone Nakoa,Hawaii,State Senate District 11,Nonpartisan,Community leader. Focus on local issues.,Not available,Not publicly disclosed,community:local-focus;housing:affordable,Community Groups
Michelle Kidani,Hawaii,State Senate District 13,Democratic,Incumbent State Senator. Education focus.,Not available,Not publicly disclosed,education:public-schools;housing:affordable,Hawaii Democratic Party;Education Unions
Lorraine Inouye,Hawaii,State Senate District 15,Democratic,Incumbent State Senator. Big Island leader.,Not available,Not publicly disclosed,rural:big-island;agriculture:support,Hawaii Democratic Party
Angus McKelvey,Hawaii,State Senate District 23,Democratic,Incumbent State Senator. West Maui representative.,Not available,Not publicly disclosed,disaster-recovery:lahaina;tourism:balance,Hawaii Democratic Party
Joy San Buenaventura,Hawaii,State Senate District 25,Democratic,Incumbent State Senator. Puna district.,Not available,Not publicly disclosed,rural:puna;geothermal:issues,Hawaii Democratic Party
Tommy Waters,Hawaii,Honolulu City Council District 1,Nonpartisan,Incumbent Councilmember. Former Chair. Focus on infrastructure.,Not available,Not publicly disclosed,infrastructure:rail;housing:affordable;homelessness:address,Labor Unions
Esther Kiaaina,Hawaii,Honolulu City Council District 3,Nonpartisan,Incumbent Councilmember. Native Hawaiian leader.,Not available,Not publicly disclosed,hawaiian:native-issues;housing:affordable;homelessness:address,Native Hawaiian Community
Radiant Cordero,Hawaii,Honolulu City Council District 5,Nonpartisan,Incumbent Councilmember. Focus on East Honolulu issues.,Not available,Not publicly disclosed,infrastructure:local;public-safety:priority,Community Groups
Andria Tupola,Hawaii,Honolulu City Council District 7,Republican,Former State Representative and 2018 gubernatorial candidate. Strong conservative voice.,Not available,Christian conservative. Samoan-American leader.,abortion:pro-life;fiscal:conservative;traditional-values:support;working-families:advocate,Hawaii Republican Party;Samoan Community;Conservative Base
Augie Tulba,Hawaii,Honolulu City Council District 9,Nonpartisan,Incumbent Councilmember. Focus on Leeward Oahu.,Not available,Not publicly disclosed,infrastructure:local;public-safety:priority,Community Groups
Heidi Tsuneyoshi,Hawaii,Hawaii County Council District 1,Nonpartisan,Incumbent Councilmember. Hilo representative.,Not available,Not publicly disclosed,rural:hilo;infrastructure:local,Community Groups
Sue Lee Loy,Hawaii,Hawaii County Council District 3,Nonpartisan,Incumbent Councilmember. Kona representative.,Not available,Not publicly disclosed,rural:kona;tourism:balance,Community Groups
Matt Kaneali'i-Kleinfelder,Hawaii,Hawaii County Council District 5,Nonpartisan,Incumbent Councilmember. Puna representative.,Not available,Not publicly disclosed,rural:puna;disaster-recovery:lava,Community Groups
Rebecca Villegas,Hawaii,Hawaii County Council District 7,Nonpartisan,Incumbent Councilmember. Hamakua representative.,Not available,Not publicly disclosed,rural:hamakua;agriculture:support,Community Groups
Holeka Goro Inaba,Hawaii,Hawaii County Council District 9,Nonpartisan,Incumbent Councilmember. Kohala representative.,Not available,Not publicly disclosed,rural:kohala;ranching:support,Community Groups
Yuki Lei Sugimura,Hawaii,Maui County Council Upcountry,Nonpartisan,Incumbent Councilmember. Upcountry Maui representative.,Not available,Not publicly disclosed,rural:upcountry;agriculture:support;water:issues,Community Groups
Alice Lee,Hawaii,Maui County Council Wailuku-Waihee-Waikapu,Nonpartisan,Incumbent Council Chair. Wailuku representative.,Not available,Not publicly disclosed,disaster-recovery:lahaina;infrastructure:local,Community Groups
Gabe Johnson,Hawaii,Maui County Council West Maui,Nonpartisan,Lahaina fire survivor and community leader. Focus on recovery.,Not available,Not publicly disclosed,disaster-recovery:lahaina-priority;housing:rebuild;community:support,Lahaina Community
Keani Rawlins-Fernandez,Hawaii,Maui County Council Molokai,Nonpartisan,Incumbent Councilmember. Molokai representative. Native Hawaiian advocate.,Not available,Not publicly disclosed,hawaiian:molokai-issues;rural:support;traditional:values,Molokai Community
Nohe U'u-Hodgins,Hawaii,Maui County Council East Maui,Nonpartisan,Incumbent Councilmember. Hana representative.,Not available,Not publicly disclosed,rural:hana;hawaiian:native-issues,East Maui Community
Tasha Kama,Hawaii,Maui County Council South Maui,Nonpartisan,Incumbent Councilmember. Kihei representative.,Not available,Not publicly disclosed,tourism:balance;housing:affordable,South Maui Community
Tom Cook,Hawaii,Maui County Council Kahului,Nonpartisan,Incumbent Councilmember. Kahului representative.,Not available,Not publicly disclosed,infrastructure:local;business:support,Business Community
Riki Hokama,Hawaii,Maui County Council Lanai,Nonpartisan,Former Councilmember. Lanai representative.,Not available,Not publicly disclosed,rural:lanai;community:local-control,Lanai Community
Shane Sinenci,Hawaii,Maui County Council Makawao-Haiku-Paia,Nonpartisan,Incumbent Councilmember. Upcountry representative.,Not available,Not publicly disclosed,rural:upcountry;agriculture:organic;environment:protection,Environmental Groups
Bill Kamai,Hawaii,Kauai County Council,Nonpartisan,Incumbent Councilmember. Focus on fiscal responsibility.,Not available,Not publicly disclosed,fiscal:conservative;infrastructure:local,Business Community
